2021-02-10T21:24:47.958Z | Common Extension Root    | TRACE | Event: binaries-utility-version-v1
2021-02-10T21:24:47.959Z | Common Extension Root    | TRACE | Trying to initialize the workspace folder StableCoin for Connect
2021-02-10T21:24:47.959Z | Common Extension Root    | TRACE | Connect initialization started on StableCoin
2021-02-10T21:24:47.959Z | Common Extension Root    | TRACE | Making sure that the CLI is present locally, by downloading it if needed
2021-02-10T21:24:47.961Z | Common Extension Root    | TRACE | Making sure that the CLI is present locally, by downloading it if needed
2021-02-10T21:24:47.986Z | Common Extension Root    | TRACE | Event: connect-initialization-success <json>{"workspacesCommonId":"337121f6-5d8e-42f5-1960-37966fb8deff"}</json>
2021-02-10T21:24:48.050Z | Common Extension Root    | TRACE | Successfully determined the CLI binary path: /home/abinesh/StableCoin/User/globalStorage/mindaro.mindaro/file-downloader-downloads/binaries/dsc
2021-02-10T21:24:48.076Z | Common Extension Root    | TRACE | Successfully determined the kubectl binary path: /home/abinesh/StableCoin/User/globalStorage/mindaro.mindaro/file-downloader-downloads/binaries/kubectl/linux/kubectl
2021-02-10T21:24:57.838Z | Common Extension Root    | TRACE | Event: cli-client-get-version-success
2021-02-10T21:24:57.838Z | Common Extension Root    | TRACE | Found local CLI version: '1.0.20210126.4'. Minimum expected version: '1.0.20210126.1'
2021-02-10T21:24:57.838Z | Common Extension Root    | TRACE | Local CLI has version number '1.0.20210126.4', which is greater than or equal to the minimum requirement '1.0.20210126.1'
2021-02-10T21:24:57.844Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"config view --minify -o json"}</json>
2021-02-10T21:24:58.907Z | Common Extension Root    | ERROR | Error: kubectl-client-command-error <json>{"args":"config view --minify -o json"}</json> <stack>Error: error: current-context must exist in order to minify\n\n	at ChildProcess.<anonymous> (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:140460)\n	at ChildProcess.emit (events.js:315:20)\n	at ChildProcess.EventEmitter.emit (domain.js:483:12)\n	at Process.ChildProcess._handle.onexit (internal/child_process.js:275:12)</stack>
2021-02-10T21:24:58.908Z | Common Extension Root    | ERROR | Error: kubectl-client-current-context-retrieval-error <stack>Error: No kubeconfig file found at path /home/abinesh/.kube/config\n	at t.KubectlClient.<anonymous> (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:141523)\n	at Generator.throw (<anonymous>)\n	at s (/home/abinesh/.vscode/extensions/mindaro.mindaro-1.0.120210126/dist/extension.js:3:140674)\n	at processTicksAndRejections (internal/process/task_queues.js:97:5)</stack>
2021-02-10T21:24:58.909Z | Common Extension Root    | WARNG | Encountered error running kubectl: Failed to get the current context from the kubeconfig: No kubeconfig file found at path /home/abinesh/.kube/config
2021-02-10T21:25:00.909Z | Common Extension Root    | TRACE | Event: cli-client-clean-local-connect-success
2021-02-10T21:25:00.909Z | Common Extension Root    | TRACE | Event: binaries-utility-cleanup-before-download-success
2021-02-10T21:25:01.852Z | Common Extension Root    | TRACE | Event: cli-versions-client-get-download-info-success <json>{"availableVersion":"1.0.20210126.4","expectedVersion":"1.0.20210126.1"}</json>
2021-02-10T21:25:01.852Z | Common Extension Root    | TRACE | Event: cli-version-client-get-download-info-status <json>{"binariesVersionsDownloadTimeInMilliseconds":942,"binariesVersionsDownloadSucceeded":true}</json>
2021-02-10T21:25:01.853Z | Common Extension Root    | TRACE | Event: binaries-utility-download-start
2021-02-10T21:25:11.538Z | Common Extension Root    | TRACE | Event: binaries-utility-download-success
2021-02-10T21:25:11.538Z | Common Extension Root    | TRACE | Event: binaries-utility-overall-download-status <json>{"binariesDownloadTimeInMilliseconds":9686,"binariesDownloadSucceeded":true}</json>
2021-02-10T21:25:13.054Z | Common Extension Root    | TRACE | Event: cli-client-get-version-success
2021-02-10T21:25:13.054Z | Common Extension Root    | TRACE | Found local CLI version: '1.0.20210126.4'. Minimum expected version: '1.0.20210126.1'
2021-02-10T21:25:13.054Z | Common Extension Root    | TRACE | Local CLI has version number '1.0.20210126.4', which is greater than or equal to the minimum requirement '1.0.20210126.1'
2021-02-10T21:25:13.055Z | Common Extension Root    | TRACE | Event: binaries-utility-ensure-cli-success <json>{"isUsingLocalBinaries":"false"}</json>
2021-02-10T21:25:13.056Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"config view --minify -o json"}</json>
